db,above,suppressed_frac,full_mean,full_p50,full_frac_ge2200,mild_mean,mild_frac_le1600,mild_frac_ge2200,mild_frac_2200_2800,mild_frac_gt3200,very_mild_mean,very_mild_frac_2200_2800,very_mild_frac_gt3200
0.0,0.2,0.0,3591.1493377559095,3600.8428514984093,0.9087265965632213,2475.4354948906885,0.08702640642939151,0.673134328358209,0.42123995407577497,0.08243398392652124,2087.0646947849937,0.3748727346772551,0.03868865811443698
0.0,0.25,0.0,3600.845672572295,3615.300028324126,0.9134714029238267,2492.584519832571,0.07554535017221585,0.6901262916188289,0.4373134328358209,0.08243398392652124,2109.2668655127068,0.3905518224394217,0.03868865811443698
0.0,0.3,0.0,3604.7924075717324,3615.300028324126,0.9154911515773275,2504.118826759247,0.06153846153846154,0.6973593570608496,0.4443168771526981,0.08243398392652124,2125.090066886751,0.3991040521278762,0.03868865811443698
0.0,0.35,0.0,3607.937900698175,3615.300028324126,0.9164849961528597,2513.6341646237706,0.06142365097588978,0.700918484500574,0.4478760045924225,0.08243398392652124,2138.5228896926974,0.4054164121360212,0.03868865811443698
0.0,0.4,0.0,3610.5727436420348,3619.807220599359,0.9183765067966145,2521.4974705939194,0.06130884041331802,0.7076923076923077,0.4537313432835821,0.08243398392652124,2149.0257190553516,0.4174302586031358,0.03868865811443698
0.0,0.45,0.0,3611.5663321165116,3619.807220599359,0.9183765067966145,2523.765857155106,0.05970149253731343,0.7076923076923077,0.44925373134328356,0.08243398392652124,2152.5821776478856,0.4174302586031358,0.03868865811443698
0.0,0.5,0.0,3612.3180552233316,3619.807220599359,0.9183765067966145,2525.7496385498166,0.051779563719862226,0.7076923076923077,0.44925373134328356,0.08243398392652124,2156.100551899144,0.4174302586031358,0.03868865811443698
0.0,0.55,0.0,3612.9290893025827,3619.807220599359,0.9183765067966145,2527.7128991697937,0.050975889781859934,0.7076923076923077,0.44925373134328356,0.08243398392652124,2159.582531129444,0.4174302586031358,0.03868865811443698
0.0,0.6,0.0,3613.164558217689,3619.807220599359,0.9183765067966145,2528.5561536359246,0.050975889781859934,0.7076923076923077,0.44925373134328356,0.08243398392652124,2161.078101563164,0.4174302586031358,0.03868865811443698
0.01,0.2,0.03674018979225442,3592.1025287972,3612.9322205993617,0.9087265965632213,2476.6895251731157,0.08702640642939151,0.673134328358209,0.4204362801377727,0.08243398392652124,2087.8090161370483,0.3748727346772551,0.03868865811443698
0.01,0.25,0.0008335470633495768,3600.840373673858,3615.300028324126,0.9134714029238267,2492.5655435707963,0.07554535017221585,0.6901262916188289,0.4373134328358209,0.08243398392652124,2109.233209792882,0.3905518224394217,0.03868865811443698
0.01,0.3,0.0008335470633495768,3604.7871086732953,3615.300028324126,0.9154911515773275,2504.099850497472,0.06153846153846154,0.6973593570608496,0.4443168771526981,0.08243398392652124,2125.056411166927,0.3991040521278762,0.03868865811443698
0.01,0.35,0.0025327006924852524,3607.993134147776,3615.300028324126,0.916869710182098,2513.8319650554513,0.06142365097588978,0.7022962112514352,0.44925373134328356,0.08243398392652124,2138.8737025128844,0.40785990633272245,0.03868865811443698
0.01,0.4,0.0035586047704539627,3610.6321648641415,3619.807220599359,0.9183765067966145,2521.7102681553365,0.06130884041331802,0.7076923076923077,0.44936854190585535,0.08243398392652124,2148.992063335527,0.4174302586031358,0.03868865811443698
0.01,0.45,0.0008335470633495768,3611.561033218074,3619.807220599359,0.9183765067966145,2523.746880893331,0.05970149253731343,0.7076923076923077,0.44925373134328356,0.08243398392652124,2152.548521928061,0.4174302586031358,0.03868865811443698
0.01,0.5,0.0008335470633495768,3612.312756324894,3619.807220599359,0.9183765067966145,2525.730662288042,0.051779563719862226,0.7076923076923077,0.44925373134328356,0.08243398392652124,2156.0668961793194,0.4174302586031358,0.03868865811443698
0.01,0.55,0.0028212362144139523,3612.988702766289,3619.807220599359,0.9183765067966145,2527.926385181268,0.050975889781859934,0.7076923076923077,0.44925373134328356,0.08243398392652124,2159.9611634161347,0.4174302586031358,0.03868865811443698
0.01,0.6,0.001731213131572198,3613.191238672932,3619.807220599359,0.9183765067966145,2528.651700910315,0.050975889781859934,0.7076923076923077,0.44925373134328356,0.08243398392652124,2161.24756129844,0.4174302586031358,0.03868865811443698
0.02,0.2,0.037189022826365735,3592.078259208844,3612.9322205993617,0.9087265965632213,2476.6895251731157,0.08702640642939151,0.673134328358209,0.4204362801377727,0.08243398392652124,2087.8090161370483,0.3748727346772551,0.03868865811443698
0.02,0.25,0.004424211336240062,3601.045895990321,3615.300028324126,0.9134714029238267,2493.2046176236095,0.07554535017221585,0.6901262916188289,0.4371986222732491,0.08243398392652124,2109.248322356514,0.3905518224394217,0.03868865811443698
0.02,0.3,0.0012823800974608873,3604.7628390849386,3615.300028324126,0.9154911515773275,2504.099850497472,0.06153846153846154,0.6973593570608496,0.4443168771526981,0.08243398392652124,2125.056411166927,0.3991040521278762,0.03868865811443698
0.02,0.35,0.002981533726596563,3607.96886455942,3615.300028324126,0.916869710182098,2513.8319650554513,0.06142365097588978,0.7022962112514352,0.44925373134328356,0.08243398392652124,2138.8737025128844,0.40785990633272245,0.03868865811443698
0.02,0.4,0.004263913824057451,3610.625408022643,3619.807220599359,0.9183765067966145,2521.7416262265187,0.06130884041331802,0.7076923076923077,0.44925373134328356,0.08243398392652124,2148.992063335527,0.4174302586031358,0.03868865811443698
0.02,0.45,0.001891510643754809,3611.5801641811418,3619.807220599359,0.9183765067966145,2523.746880893331,0.05970149253731343,0.7076923076923077,0.44925373134328356,0.08243398392652124,2152.548521928061,0.4174302586031358,0.03868865811443698
